"Supplementary Table 6 – Candidate TEAD targets genes are annotated with expression information (in-house and public datasets), biological function and involvement in melanoma. ",,,,,,,,,,,
,,,,,,,,,,,
Gene Symbol,2 invasive vs 9 proliferative samples,,TEADs - KD in MM047,,TAZ activation in Glioma*,TCGA-SKCM (TEAD-high vs rest),,CCLE-melanoma (Resistant vs Sensitive),,ECM and locomotion (GO),Involvement in melanoma (NCBI)
Gene Symbol,log2FC,adj-p-val,log2FC,adj-p-val,log2FC,log2FC,adj-p-val,log2FC,adj-p-val,,
AXL,6.171268399,1.49E-47,-0.643422355,0.094256014,4.263401438,1.560293944,5.08E-08,2.741774535,0.000832681,1,1
CCL2,7.701487033,1.23E-09,0.942726379,0.107533616,3.832587515,0.46164598,0.089791547,3.93981554,0.004282933,1,1
CDH13,7.918048194,2.53E-11,0.474354689,0.092699175,0.834427773,2.189735465,9.88E-20,2.733317214,0.000834299,1,1
CXCL1,3.291435141,0.031148951,-1.827304475,8.50E-09,0,-0.482576701,0.278027312,1.191720671,0.461310676,1,1
CXCL2,5.469583026,1.15E-07,-1.424118411,0.000698016,1.352315774,0.291494103,0.459375095,0.6991876,0.138882349,1,1
CXCL3,3.540131844,0.00942443,-1.175637275,0.008909085,0.250687729,0.621261448,0.121799199,0.985261136,0.220690598,1,1
CYR61,4.101678043,0.006994842,-0.478189082,0.210862207,6.734362361,0.776327516,0.004038853,2.633961374,0.00170348,1,1
EDN1,7.648887061,4.81E-14,-2.425770402,3.56E-06,2.828532243,0.827867939,0.000676757,0.814028488,0.016057581,1,1
EGFR,4.325553635,7.45E-08,-1.145126668,7.42E-06,0.008009217,2.198244875,2.62E-11,0.874817931,0.029991013,1,1
ENG,2.082541468,4.70E-06,-0.019953426,0.954586064,0,0.431669657,0.003988082,0.361078959,0.216569397,1,1
EPHA2,3.638136748,0.000144318,0.300479806,0.432720321,-0.093500517,0.400061142,0.152382233,1.809569244,0.008302187,1,1
FGF2,4.129059184,0.003927787,-1.278065961,4.35E-05,1.033394618,1.447853452,8.67E-06,1.514130759,0.068607243,1,1
FOSL1,2.706714279,0.028442902,-0.370516831,0.575572342,3.054246601,0.42106549,0.23547061,1.174194356,0.074389776,1,1
GAS6,2.418103405,0.040802209,-0.34477219,0.494996346,2.311347054,0.648199052,0.007137528,1.104473563,0.121168417,1,1
ID1,2.937919557,0.020985893,-0.860073878,0.005866904,-2.251303595,2.174109731,1.74E-17,1.360988626,0.042801059,1,1
IGFBP3,3.322086841,0.043864446,-0.916354443,9.13E-06,1.798672799,2.365913584,1.83E-17,1.536833708,0.387711769,1,1
IL1B,8.290547615,3.71E-09,-0.559351071,0.391460273,3.201019476,2.348793624,1.51E-13,2.438498378,0.045715781,1,1
IL6,6.714738858,1.08E-06,-1.253533729,0.015714867,0.276413738,0.747070713,0.029049195,2.412120865,0.023575501,1,1
IL6ST,2.037006103,0.003194424,0.220023308,0.653145317,0.771263617,0.68633835,0.005140927,0.678524194,0.017585854,1,1
ITGA2,3.542519802,0.002150993,-0.136850121,0.824046298,-0.012571516,1.60907762,8.23E-11,1.643236851,0.000832681,1,1
ITGA5,3.206273394,0.013660436,-0.862348532,0.000594974,1.606061416,1.280342491,4.87E-09,1.930506819,0.009412316,1,1
ITGB1,1.508916534,0.004974237,-1.763584969,1.94E-12,0.160403565,0.941428522,1.85E-11,0.36776375,0.043202882,1,1
NRG1,5.448714666,6.30E-05,-0.420849273,0.34575719,1.284878404,1.85357722,6.35E-06,1.020872703,0.036191119,1,1
NRP1,4.806827701,0.001413938,-0.196697516,0.496257075,1.38172078,1.696299546,1.04E-16,1.573944864,0.0028629,1,1
PLAU,7.639957189,7.58E-11,1.847751019,2.02E-08,2.435247122,1.062223956,7.71E-06,1.581904084,0.110422685,1,1
POSTN,8.631070269,1.32E-10,1.329438427,0.002473862,2.311610011,1.402989294,1.39E-05,0.869980468,0.20288336,1,1
PXDN,7.200321966,0.000128926,1.664483694,8.97E-05,-0.204856737,1.838680896,2.12E-11,2.526692054,0.110422685,1,1
SERPINE1,7.707515529,1.30E-09,-0.640790585,0.023743085,3.834230743,1.7319998,7.38E-11,2.69586506,0.002554035,1,1
SOX9,3.929038881,0.028917348,-0.970176061,0.063551651,-2.485831713,0.824114575,0.025993554,1.257938837,0.157966425,1,1
SRF,1.105284798,0.002600395,0.223513861,0.443036881,0,-0.11974444,0.252313933,0.117526859,0.486875958,1,1
THBD,6.401077812,2.58E-07,0.417750779,0.4295372,-0.045895557,0.364216507,0.207066309,0.223558242,0.850644347,1,1
THBS1,4.984323964,0.003462233,-0.764555434,0.04865647,1.427300742,1.459498536,1.40E-09,1.699423324,0.07068573,1,1
VCAM1,8.63641874,5.92E-13,1.714936765,0.000727401,0.402877526,0.242356874,0.469445824,0.695725947,0.271220426,1,1
VEGFA,2.340287264,0.000398001,0.218258437,0.64943538,-0.170362967,1.290040823,2.88E-08,0.621047799,0.094733119,1,1
VEGFC,4.939898534,2.55E-06,-1.404209725,1.24E-10,2.234009877,1.103409999,2.04E-07,2.600289564,0.015888666,1,1
WNT5A,4.930737526,0.00078719,0.218878713,0.72937385,1.369529141,2.246904437,1.58E-14,3.684942501,0.000842192,1,1
ABI3BP,6.161547966,4.14E-09,-0.294553348,0.747210766,0,1.450052444,1.92E-05,0.556985419,0.066633934,1,0
ACE,5.017978218,0.000284161,-0.209342711,0.824046298,0,0.585309523,0.014305574,0.01466705,0.937974973,1,0
AJUBA,2.66504881,0.00081881,0.832796524,3.95E-07,NA,NA,NA,1.019318848,0.010924548,1,0
ARTN,4.215944159,0.008310119,0.924650526,0.012258303,0.064076244,1.25847782,0.000129372,0.159045599,0.502346537,1,0
BCL3,3.150895338,0.000182293,0.58542378,8.28E-05,0.219036975,0.475792519,0.013036891,0.731731765,0.055616774,1,0
BDNF,6.982344685,1.33E-14,-0.651466093,0.020306706,4.096288686,0.993525395,0.019126086,2.414902107,0.004794626,1,0
CACNA1C,4.251703768,0.007537194,0.597197222,0.00312757,0.005416811,1.592760426,3.03E-10,0.054210027,0.561002192,1,0
CCDC80,4.795631785,1.50E-08,-2.70140433,1.49E-18,NA,1.089627533,1.10E-05,1.767060462,0.013990993,1,0
CITED2,1.749391136,0.027591542,0.052938021,0.887214854,1.861973301,0.446286032,0.009043074,0.640172543,0.120447185,1,0
CNN2,2.20050524,0.039723023,0.504982468,0.025377029,0.882864051,0.31132309,0.156950382,1.002805336,0.005527772,1,0
COL12A1,5.392237239,7.64E-07,0.502537368,0.249924254,NA,1.805070795,1.67E-11,1.20230978,0.01507985,1,0
COL13A1,6.008748376,3.93E-09,-1.910886379,1.10E-17,0.095565604,1.516410778,1.07E-07,1.443568551,0.001751047,1,0
COL1A1,8.229825149,8.10E-13,1.188193483,3.43E-05,1.654759066,1.287946357,1.79E-06,1.048279677,0.073778191,1,0
COL1A2,7.156812982,8.19E-52,0.014482354,0.976600114,1.386774993,1.524052479,1.51E-09,2.397336529,0.125620787,1,0
COL3A1,5.134229502,0.001838843,-0.038303598,0.979381672,-0.039636697,1.301537105,1.27E-06,1.395977779,0.043845163,1,0
COL4A5,3.358188163,0.060419643,0.397299574,0.085173768,-0.082885725,1.129072903,0.012772143,0.414354068,0.473906161,1,0
COL4A6,4.932604043,0.000131566,-0.081205478,0.899124228,0.751072945,1.342827672,0.001728982,0.124618483,0.532459133,1,0
COL5A1,5.952432073,1.10E-28,1.080234386,0.000119161,0.295715512,1.210557517,2.12E-05,2.395390726,0.009802042,1,0
COL5A2,4.987945237,2.54E-07,-1.591217486,2.60E-08,-0.627810891,1.539974603,2.77E-10,0.710965277,0.751326055,1,0
COL6A1,3.434120399,0.006134499,0.507075387,0.017706678,-0.568119314,1.593226714,8.20E-12,0.573223696,0.045865878,1,0
COL6A2,4.241462312,0.022531234,0.443684085,0.072629088,0.224460025,1.624390741,5.00E-11,1.84603211,0.013618954,1,0
COL6A3,5.146293186,2.52E-05,-1.944267993,1.91E-12,2.623990143,1.060633705,4.77E-06,1.40862172,0.169605858,1,0
COL7A1,3.043851575,0.069257821,0.577660745,0.055865959,0.665555499,2.057851316,6.74E-09,0.618955725,0.09002524,1,0
COL8A1,7.485529254,2.77E-09,-0.925650077,4.54E-06,0.002819983,2.561216638,1.72E-14,1.35697669,0.09002524,1,0
CSF1,2.748673598,0.021155935,-1.737256793,6.54E-08,0.145702782,0.288981744,0.226650497,0.475500298,0.054912817,1,0
CSF1R,4.920469009,0.00081881,0.628225538,0.141833081,0,0.783867925,0.002078452,-0.032471268,0.846666591,1,0
CSNK2B,1.230775467,0.03615562,-0.146145906,0.543476115,-0.0219852,-0.500430342,2.00E-05,0.041767463,0.890570364,1,0
CYP1B1,5.009713935,0.000317348,0.296594003,0.350779634,3.817797901,1.415265886,2.04E-07,0.712150489,0.452847385,1,0
DLC1,2.436411592,0.057702917,-0.745480526,0.005928234,1.546709721,0.213111485,0.361802851,0.91711462,0.013055572,1,0
DNAH2,5.105680608,4.01E-05,-0.73495523,0.059029355,0,0.415707977,0.424946892,-0.102281547,0.698176172,1,0
DOCK2,3.981312258,0.001305974,0.169695669,0.74156415,0.310604619,-0.18091026,0.594620675,0.189185654,0.434697076,1,0
ECSCR,6.495506689,6.63E-06,-0.969246998,0.036500014,NA,0.827460115,0.000513357,0.515733768,0.288078884,1,0
EMILIN1,5.610177135,1.84E-09,0.596784185,0.006274953,-0.263177695,1.658111958,7.60E-09,0.771935735,0.51410562,1,0
EPHB1,2.924310844,0.050292659,-1.285109234,0.029886822,-0.07271933,0.222524774,0.574831564,0.678135823,0.193144135,1,0
EPHB2,4.493035284,0.007129073,-1.087361995,0.000310936,0.746146721,0.905939964,0.000162124,0.305093047,0.342691635,1,0
EXT1,1.454047673,0.039555386,-0.536509919,0.010693223,0.928296314,0.366720573,0.000245135,0.720231801,0.112579003,1,0
FEZ2,1.635187109,4.08E-07,-0.325525062,0.20467653,0.734105642,0.518139697,7.28E-08,0.420303846,0.011996617,1,0
FGF1,5.091873669,2.70E-05,2.043968289,1.36E-05,0.181999245,0.492634911,0.185054935,1.005452356,0.006247957,1,0
FGF7,3.554442263,0.062598364,-0.590806641,0.489481813,0,1.256351234,3.01E-06,0.210253442,0.43512479,1,0
FOXC2,3.993218387,0.038266252,0.750463663,0.418193382,-0.121509562,1.220964168,0.00014272,0.491356911,0.458658854,1,0
FOXE1,4.012563501,0.043793152,0.556122748,0.008307196,-0.067691891,1.060093238,0.068818642,0.11503796,0.519063667,1,0
FOXF1,6.672533795,4.39E-08,1.686724332,8.82E-09,-0.631835793,0.01989884,0.965734387,1.817141848,0.083019113,1,0
FOXG1,6.593738381,5.21E-07,-1.267080152,0.027474448,0.679446891,0.434202002,0.512723263,0.424649304,0.434538557,1,0
GREM1,6.528017119,4.35E-06,-1.567628553,5.10E-10,0.226714106,1.044379859,0.002674456,2.118028283,0.064741894,1,0
HBEGF,2.163046139,0.03615562,-2.773189735,1.60E-17,0.74772737,0.868838089,1.26E-05,0.460816489,0.013594241,1,0
IGFBP5,3.370891833,0.062422066,0.849901146,0.064363139,1.286127628,0.873812901,0.014260476,0.804255719,0.52490857,1,0
IL8,4.259565911,0.00351801,-2.051410028,3.43E-06,2.452474694,1.110215139,0.001230282,NA,NA,1,0
ING2,1.577671729,0.027006599,-0.984327595,0.000139597,0.020605974,0.215185257,0.02896273,0.389963406,0.156878816,1,0
IRS1,2.087013934,0.00013518,-0.808069561,8.98E-05,3.957558419,0.546963775,0.018471376,0.744346386,0.167378427,1,0
ITGA1,2.791814003,0.065287615,0.138555282,0.904105804,0,1.652521597,1.37E-13,1.227704147,0.042966711,1,0
ITGB4,3.546862952,0.001519772,1.722562409,7.77E-05,0.191958244,1.20801379,0.000500243,0.080556149,0.53552454,1,0
KAL1,7.032346512,1.39E-10,-0.901064732,0.008998921,-2.469218938,0.944101481,0.000937339,0.159537168,0.354721133,1,0
KIRREL3,2.878638528,0.004465263,-0.370633931,0.644235353,NA,1.428204327,4.44E-06,0.437233298,0.176024843,1,0
KLF7,1.886634999,0.003535892,0.164184713,0.731185344,1.621045484,0.771082584,2.26E-05,0.766809579,0.020217396,1,0
LAMA3,4.489641519,4.63E-06,-0.887652993,0.007310013,-0.051773362,1.415766896,1.35E-05,0.058753535,0.622525833,1,0
LAMB2,1.446227377,0.02411363,-0.03873929,0.909265552,0.126083799,-0.20362075,0.235271917,0.507018489,0.286616108,1,0
LAMC1,2.302868148,0.000878158,-0.051070385,0.903187725,-0.184762872,0.967424621,1.37E-09,0.236442264,0.655310091,1,0
LEPREL1,3.002164709,0.059869383,-0.654685525,0.021073062,2.873342313,1.669743439,4.27E-06,0.284935194,0.723028308,1,0
LOX,4.618895343,3.04E-05,-0.644106965,0.015967707,3.396188174,1.31660272,3.34E-07,1.964463694,0.029834524,1,0
LOXL2,6.955257926,1.68E-10,-0.55058227,0.076365939,0.842616709,1.148737842,3.87E-07,1.349706986,0.000687592,1,0
LPAR1,5.145151965,0.000204541,0.132833015,0.703496626,-1.371752572,1.647759715,3.42E-07,1.693819972,0.035558927,1,0
MKX,7.141407364,6.21E-11,-0.216972484,0.800699639,NA,1.483388603,0.000509456,0.251810277,0.473912492,1,0
MYL6,1.555150591,0.006252324,0.448795152,0.04066329,0.244876531,0.037919192,0.797003875,0.40545131,0.011847713,1,0
MYL9,4.412760386,0.010172473,0.374671042,0.122483228,0,0.532976211,0.042849347,0.349397914,0.888286599,1,0
MYLK,3.437156206,6.15E-10,-1.216432263,7.00E-05,2.64049701,0.630903424,0.007174093,0.532318048,0.186845152,1,0
NEXN,6.138187501,9.49E-11,-1.527886597,1.48E-11,NA,1.028373856,5.63E-05,1.170375757,0.295789114,1,0
NR2F1,4.764794336,6.52E-10,0.303102531,0.663822098,0.150851126,0.897164378,0.001963305,1.040284793,0.078884533,1,0
NR2F2,1.844252531,0.042547878,-1.312503724,0.001113063,0.361784286,0.727466478,7.32E-06,0.737518329,0.079706225,1,0
NTN4,5.410448575,0.000209938,0.217593662,0.437628964,NA,1.12483759,0.000333767,2.046400417,0.028254004,1,0
PDGFB,3.665867785,0.022377185,2.952400979,9.25E-11,-0.000975133,0.701158298,0.000250291,0.169229024,0.216162099,1,0
PDGFRB,4.377000748,7.37E-05,0.831941181,0.031907383,-0.3948182,1.190913314,3.84E-09,0.632716828,0.034786231,1,0
PLOD2,2.580933856,0.002593472,-0.925855332,0.026372172,0.625638362,0.76707452,0.000488425,0.945583366,0.063727895,1,0
PODXL,4.139640734,7.92E-18,-1.949957806,1.89E-08,1.001300042,1.451888651,1.60E-15,2.348809755,0.010104634,1,0
PVRL2,1.665099043,0.026759767,0.196189052,0.489793596,1.060089873,0.218394207,0.146133758,0.354481207,0.471077729,1,0
RELN,4.186794039,0.011165997,NA,NA,-0.291334968,2.021486927,2.85E-07,0.194806526,0.655184596,1,0
RRAS2,1.543528489,0.005553204,-0.307713964,0.352970871,2.375483807,0.067250758,0.763452794,0.349462666,0.700166567,1,0
S1PR1,5.948597735,6.95E-08,-0.358692193,0.453056362,1.521232117,0.411003698,0.072531118,0.455557154,0.139577625,1,0
SEMA3F,2.865680961,0.091809701,-0.562309429,0.053068136,-0.047691921,0.69406343,0.00117904,0.001092601,0.997350808,1,0
SERPINH1,1.922873138,0.095992471,0.037831464,0.891971861,-0.335525198,0.601479965,0.00052204,0.986588906,0.42565735,1,0
SIAH2,1.134309265,0.030060834,-0.570210815,0.086884463,-0.354840226,0.236671571,0.027024088,0.136197327,0.742439382,1,0
SPOCK1,3.205068458,0.038167858,0.617219212,0.167971489,-0.22679635,0.797929578,0.019247508,2.572774595,0.023050508,1,0
SULF1,5.196592698,0.001174804,0.588686803,0.29106112,0,2.054170885,3.33E-14,1.36641404,0.209766492,1,0
TGFB2,4.749976662,1.42E-08,-0.094823802,0.863522132,0.84552386,1.076378638,0.00170917,0.288999087,0.606950403,1,0
TGFBR2,2.281484306,0.004503718,0.268979768,0.506406011,1.085719287,0.555970754,0.001400445,0.851147671,0.064393633,1,0
THSD4,3.790569977,3.57E-10,0.894361123,0.000917749,0.216836916,1.444658312,2.72E-07,0.498651512,0.079244894,1,0
TNFRSF11B,5.600046723,2.39E-07,-0.532715869,0.349222155,-0.885065296,0.825753409,0.016013725,1.520554329,0.212181165,1,0
TPM1,2.619998869,0.035759527,-1.043679998,0.000789105,2.650183754,1.101718751,2.29E-12,1.717830155,0.00170348,1,0
TRPC4,4.757708286,0.003180968,-2.771859174,1.00E-07,0,1.594244579,4.83E-08,0.304983295,0.127564007,1,0
VASP,1.085407575,0.008407573,0.100633037,0.708999973,0.718349872,0.050565741,0.722785978,0.5960296,0.02407979,1,0
VCL,1.068649614,0.059428314,0.946554477,3.93E-07,0.836515688,0.576698421,2.20E-06,0.316825163,0.138740809,1,0
VIT,5.139183375,0.003503905,NA,NA,NA,1.582696829,0.000456189,0.587454019,0.411685473,1,0
WNT5B,4.045643594,0.00818629,0.400021123,0.404096753,0.88725664,1.37567266,3.54E-07,0.952931098,0.015793293,1,0
ANPEP,8.392816111,3.46E-07,0.203761524,0.342532178,0.154631533,2.174987282,2.42E-15,0.591098577,0.123458274,0,1
CLU,4.280117929,8.87E-05,2.546349133,1.12E-32,0.515222666,-0.032327688,0.951030946,0.930153,0.136545134,0,1
CYLD,1.724317215,0.000386836,-0.12909435,0.710692454,0.890870478,0.27542061,0.102171338,0.474297105,0.045234089,0,1
DKK1,3.782770295,0.03051876,-1.690874085,8.50E-06,0,0.014401455,0.981189547,2.682328867,0.011713572,0,1
DKK3,5.093384833,7.57E-05,-3.00078062,3.50E-38,1.25218278,1.559560183,1.03E-06,2.034541719,0.019309495,0,1
EPAS1,2.700872834,0.004411204,-0.666086523,0.032718301,0.098388623,0.230227402,0.179951175,0.414673579,0.263787326,0,1
ERAP2,2.471068782,0.047734716,-0.38136598,0.125428342,0,-0.144384651,0.72825153,0.928095606,0.200676624,0,1
ERRFI1,3.32677027,8.81E-11,0.493274327,0.247875349,NA,2.753925342,9.72E-29,1.016297683,0.188796842,0,1
FAM129B,2.303759399,4.72E-06,0.563505366,0.00101844,NA,0.268256808,0.129721966,0.352144797,0.132106125,0,1
GSTM1,6.032343119,9.49E-05,NA,NA,-0.018641701,-0.586660852,0.251773628,-0.427372957,0.45312897,0,1
HSPA5,1.526625117,0.019812083,-0.107485609,0.868058972,1.354131065,0.471219186,4.16E-05,0.24299111,0.46544607,0,1
IDO1,6.578936814,1.85E-07,2.894217462,2.00E-15,0,-0.890094268,0.045294933,0.327821084,0.511704947,0,1
IL1A,6.928338356,2.09E-09,-0.738895829,0.192171065,0.742937387,2.916025754,2.53E-14,0.881485593,0.124283383,0,1
ISG15,5.435690109,1.50E-07,0.045391939,0.896579755,-0.884748767,-0.827671123,0.004863674,1.174216221,0.142780922,0,1
JUN,2.012751765,0.037635886,-0.025625625,0.972713004,0.477470624,0.358415963,0.09134609,1.856192257,0.006860199,0,1
LAMC2,5.342788528,3.78E-05,0.635215929,0.003711282,0.964087527,1.842161706,2.62E-06,0.228409162,0.099419414,0,1
LTBP2,3.617249359,0.002515204,-0.310649648,0.29857573,0.318943902,1.475277109,1.50E-11,1.254743206,0.02407979,0,1
MAGEA10,4.844034802,0.001188442,-0.502758535,0.164636239,0,0.020445576,0.9833714,1.186348237,0.3868924,0,1
MAGEA4,7.181263802,5.09E-11,NA,NA,-0.063953965,-0.915052666,0.251277931,-0.407295417,0.831012253,0,1
MAP3K14,1.473131701,0.019570314,0.396185889,0.091656067,1.619125485,-0.271982387,0.096574515,0.84276057,0.016645058,0,1
NFKBIA,2.260001712,0.004520069,-0.098421776,0.735000654,0.805348179,0.203340233,0.257519476,0.478331387,0.017488727,0,1
NLRP3,5.247210825,0.000258407,-0.911316785,0.008136576,0.075609858,0.845579731,0.000311056,0.296373963,0.176773425,0,1
NR3C1,1.51450158,0.000939808,-0.825435268,0.000644471,1.00024599,0.31406702,0.039367095,0.806350332,0.024643006,0,1
PDGFC,4.142668677,0.001629939,0.524457022,0.04865647,-0.722721352,2.093829605,9.71E-16,2.232139517,0.008282063,0,1
PMAIP1,1.612607722,0.028366039,0.724159984,0.000102823,4.354588767,1.210041611,1.63E-07,1.012120706,0.036217766,0,1
PPARG,4.586029816,0.000209938,-1.096536801,0.001601077,0,0.270069296,0.305727215,0.434641934,0.675823285,0,1
PSMB9,2.807736327,0.073972298,0.836949513,1.57E-07,0.384579948,-0.746856405,0.003455429,1.296346915,0.121168417,0,1
PVR,2.121990061,8.85E-05,-0.450820736,0.115680365,1.056310675,0.143294378,0.382344017,0.155981502,0.715271039,0,1
